Site,Date,Enterococcus,Weather
CIC2,12/18/17,520,W
GC3,12/18/17,10,W
GC4,12/18/17,10,W
GC5,12/18/17,30,W
GC6,12/18/17,20,W
SP1,12/18/17,10,W
AC1,12/12/17,9000,D
AC2,12/12/17,8000,D
BR1,12/12/17,200,D
BR3,12/12/17,228,D
E12,12/12/17,20,D
E13,12/12/17,5,D
HR03,12/12/17,276,D
HR1,12/12/17,64,D
HR2,12/12/17,340,D
WC1,12/12/17,88,D
WC2,12/12/17,490,D
WC3,12/12/17,24,D
BB2,12/11/17,16,W
BB4,12/11/17,4,W
GHC,12/11/17,2,W
HOB,12/11/17,4,W
J1,12/11/17,2,W
J10,12/11/17,2,W
J11,12/11/17,16,W
J12,12/11/17,2,W
J2,12/11/17,4,W
J3,12/11/17,2,W
J5,12/11/17,2,W
J7,12/11/17,2,W
J8,12/11/17,2,W
J9A,12/11/17,2,W
JA1,12/11/17,2,W
N16,12/11/17,2,W
N9,12/11/17,89,W
N9A,12/11/17,20,W
PB2,12/11/17,4,W
PB3,12/11/17,2,W
SP2,12/11/17,8,W
TB1,12/11/17,8,W
TB2,12/11/17,8,W
F1,12/7/17,12,D
F5,12/7/17,2,D
HC1,12/7/17,140,D
HC2,12/7/17,2,D
HC3,12/7/17,12,D
J14,12/7/17,8,D
J16,12/7/17,4,D
J18,12/7/17,12,D
CIC3,12/5/17,NS,NS
G2,12/5/17,31,D
GB1,12/5/17,NS,NS
K1,12/5/17,4,D
K2,12/5/17,17,D
K3,12/5/17,32,D
K4,12/5/17,23,D
K5,12/5/17,16,D
K5A,12/5/17,14,D
K6,12/5/17,NS,NS
N6,12/5/17,1,D
N7,12/5/17,4,D
N8,12/5/17,NS,NS
NC0,12/5/17,208,D
NC1,12/5/17,96,D
NC2,12/5/17,56,D
NC3,12/5/17,20,D
BR5,12/4/17,2,D
E10,12/4/17,1,D
E11,12/4/17,2,D
E14,12/4/17,9,D
E15,12/4/17,12,D
E2,12/4/17,10,D
E4,12/4/17,8,D
E6,12/4/17,5,D
E7,12/4/17,2,D
E8,12/4/17,2,D
FB1,12/4/17,20,D
FLC1,12/4/17,64,D
FLC2,12/4/17,22,D
H3,12/4/17,8,D
LN1,12/4/17,30,D
N1,12/4/17,13,D
N3B,12/4/17,6,D
N4,12/4/17,12,D
N5,12/4/17,5,D
NR1,12/4/17,11,D
F1,11/21/17,12,D
F5,11/21/17,4,D
HC1,11/21/17,18,D
HC2,11/21/17,2,D
HC3,11/21/17,2,D
J14,11/21/17,2,D
J16,11/21/17,2,D
J18,11/21/17,2,D
CIC3,11/20/17,51,D
G2,11/20/17,8,D
GB1,11/20/17,1,D
K1,11/20/17,14,D
K2,11/20/17,9,D
K3,11/20/17,43,D
K4,11/20/17,56,D
K5,11/20/17,17,D
K5A,11/20/17,9,D
K6,11/20/17,NS,NS
N6,11/20/17,13,D
N7,11/20/17,9,D
N8,11/20/17,4,D
NC0,11/20/17,48,D
NC1,11/20/17,48,D
NC2,11/20/17,44,D
NC3,11/20/17,12,D
AC1,11/16/17,600,W
AC2,11/16/17,2100,W
BR1,11/16/17,17000,W
BR3,11/16/17,220,W
E12,11/16/17,10,W
E13,11/16/17,12,W
HR03,11/16/17,600,W
HR1,11/16/17,20,W
HR2,11/16/17,240,W
WC1,11/16/17,500,W
WC2,11/16/17,1700,W
WC3,11/16/17,12,W
CIC2,11/14/17,4700,D
GC3,11/14/17,12,D
GC4,11/14/17,196,D
GC5,11/14/17,196,D
GC6,11/14/17,112,D
SP1,11/14/17,82,D
BR5,11/13/17,78,D
E10,11/13/17,1,D
E11,11/13/17,3,D
E14,11/13/17,8,D
E15,11/13/17,86,D
E2,11/13/17,20,D
E4,11/13/17,10,D
E6,11/13/17,72,D
E7,11/13/17,5,D
E8,11/13/17,5,D
FB1,11/13/17,210,D
FLC1,11/13/17,100,D
FLC2,11/13/17,200,D
H3,11/13/17,16,D
LN1,11/13/17,NS,NS
N1,11/13/17,32,D
N3B,11/13/17,16,D
N4,11/13/17,16,D
N5,11/13/17,10,D
NR1,11/13/17,27,D
BB2,11/1/17,490,D
BB4,11/1/17,56,D
GHC,11/1/17,17,D
HOB,11/1/17,50,D
J1,11/1/17,4,D
J10,11/1/17,3,D
J11,11/1/17,1,D
J12,11/1/17,10,D
J2,11/1/17,1,D
J3,11/1/17,5,D
J5,11/1/17,8,D
J7,11/1/17,3,D
J8,11/1/17,6,D
J9A,11/1/17,9,D
JA1,11/1/17,6,D
N16,11/1/17,1,D
N9,11/1/17,4,D
N9A,11/1/17,4,D
PB2,11/1/17,17,D
PB3,11/1/17,3,D
SP2,11/1/17,3,D
TB1,11/1/17,250,D
TB2,11/1/17,126,D
AC1,10/26/17,5800,D
AC2,10/26/17,400,D
BR1,10/26/17,168,D
BR3,10/26/17,132,D
E12,10/26/17,NS,NS
E13,10/26/17,4,D
HR03,10/26/17,NS,NS
HR1,10/26/17,NS,NS
HR2,10/26/17,NS,NS
WC1,10/26/17,114,D
WC2,10/26/17,58,D
WC3,10/26/17,9,D
F1,10/25/17,28,W
F5,10/25/17,36,W
HC1,10/25/17,10,W
HC2,10/25/17,10,W
HC3,10/25/17,10,W
J14,10/25/17,8,W
J16,10/25/17,4,W
J18,10/25/17,4,W
CIC2,10/23/17,8,D
GC3,10/23/17,4,D
GC4,10/23/17,8,D
GC5,10/23/17,4,D
GC6,10/23/17,12,D
SP1,10/23/17,2,D
F1,10/19/17,8,D
F5,10/19/17,4,D
HC1,10/19/17,20,D
HC2,10/19/17,10,D
HC3,10/19/17,4,D
J14,10/19/17,10,D
J16,10/19/17,4,D
J18,10/19/17,4,D
CIC3,10/17/17,29,D
E12,10/17/17,4,D
E13,10/17/17,1,D
G2,10/17/17,12,D
GB1,10/17/17,3,D
HR03,10/17/17,12,D
HR1,10/17/17,4,D
HR2,10/17/17,160,D
K1,10/17/17,1,D
K2,10/17/17,20,D
K3,10/17/17,1,D
K4,10/17/17,7,D
K5,10/17/17,8,D
K5A,10/17/17,3,D
K6,10/17/17,1,D
N6,10/17/17,1,D
N7,10/17/17,1,D
N8,10/17/17,2,D
NC0,10/17/17,32,D
NC1,10/17/17,4,D
NC2,10/17/17,16,D
NC3,10/17/17,8,D
WC1,10/17/17,8,D
WC2,10/17/17,40,D
WC3,10/17/17,2,D
BR5,10/16/17,13,D
CIC2,10/16/17,1100,D
E10,10/16/17,1,D
E11,10/16/17,2,D
E14,10/16/17,1,D
E15,10/16/17,16,D
E2,10/16/17,4,D
E4,10/16/17,3,D
E6,10/16/17,3,D
E7,10/16/17,1,D
E8,10/16/17,1,D
FB1,10/16/17,7,D
FLC1,10/16/17,76,D
FLC2,10/16/17,51,D
GC3,10/16/17,4,D
GC4,10/16/17,16,D
GC5,10/16/17,8,D
GC6,10/16/17,36,D
H3,10/16/17,8,D
LN1,10/16/17,1,D
N1,10/16/17,2,D
N3B,10/16/17,1,D
N4,10/16/17,5,D
N5,10/16/17,4,D
NR1,10/16/17,1,D
SP1,10/16/17,18,D
AC1,10/13/17,9000,D
AC2,10/13/17,16000,D
BR1,10/13/17,152,D
BR3,10/13/17,100,D
BR5,10/12/17,230,D
E10,10/12/17,NS,NS
E11,10/12/17,6,D
E12,10/12/17,68,D
E13,10/12/17,4,D
E14,10/12/17,10,D
E15,10/12/17,90,D
E2,10/12/17,16,D
E4,10/12/17,2,D
E6,10/12/17,17,D
E7,10/12/17,6,D
E8,10/12/17,2,D
FB1,10/12/17,28,D
FLC1,10/12/17,200.23,D
FLC2,10/12/17,62,D
H3,10/12/17,11,D
HR03,10/12/17,2300,D
HR1,10/12/17,2400,D
HR2,10/12/17,3800,D
LN1,10/12/17,NS,NS
N1,10/12/17,1,D
N3B,10/12/17,1,D
N4,10/12/17,14,D
N5,10/12/17,1,D
NR1,10/12/17,10,D
WC1,10/12/17,164,D
WC2,10/12/17,970,D
WC3,10/12/17,36,D
BB2,10/11/17,10,D
BB4,10/11/17,12,D
CIC2,10/11/17,60,D
GC3,10/11/17,12,D
GC4,10/11/17,8,D
GC5,10/11/17,24,D
GC6,10/11/17,36,D
GHC,10/11/17,1,D
HOB,10/11/17,3,D
J1,10/11/17,3,D
J10,10/11/17,2,D
J11,10/11/17,2,D
J12,10/11/17,10,D
J2,10/11/17,1,D
J3,10/11/17,1,D
J5,10/11/17,1,D
J7,10/11/17,2,D
J8,10/11/17,1,D
J9A,10/11/17,1,D
JA1,10/11/17,4,D
N16,10/11/17,1,D
N9,10/11/17,2,D
N9A,10/11/17,1,D
PB2,10/11/17,13,D
PB3,10/11/17,1,D
SP1,10/11/17,14,D
SP2,10/11/17,2,D
TB1,10/11/17,3,D
TB2,10/11/17,2,D
CIC3,10/10/17,46,W
F1,10/10/17,40,W
F5,10/10/17,4,W
G2,10/10/17,70,W
GB1,10/10/17,6,W
HC1,10/10/17,40,W
HC2,10/10/17,10,W
HC3,10/10/17,10,W
J14,10/10/17,4,W
J16,10/10/17,4,W
J18,10/10/17,4,W
K1,10/10/17,12,W
K2,10/10/17,24,W
K3,10/10/17,34,W
K4,10/10/17,32,W
K5,10/10/17,4,W
K5A,10/10/17,2,W
K6,10/10/17,8,W
N6,10/10/17,14,W
N7,10/10/17,24,W
N8,10/10/17,24,W
NC0,10/10/17,11400,W
NC1,10/10/17,4900,W
NC2,10/10/17,1900,W
NC3,10/10/17,535,W
AC1,10/5/17,28,D
AC2,10/5/17,140,D
BR1,10/5/17,300,D
BR3,10/5/17,28,D
F1,10/5/17,12,D
F5,10/5/17,10,D
HC1,10/5/17,22,D
HC2,10/5/17,4,D
HC3,10/5/17,4,D
J14,10/5/17,4,D
J16,10/5/17,2,D
J18,10/5/17,4,D
BB2,10/4/17,17,D
BB4,10/4/17,1,D
GHC,10/4/17,1,D
HOB,10/4/17,2,D
J1,10/4/17,1,D
J10,10/4/17,1,D
J11,10/4/17,4,D
J12,10/4/17,1,D
J2,10/4/17,1,D
J3,10/4/17,1,D
J5,10/4/17,1,D
J7,10/4/17,1,D
J8,10/4/17,1,D
J9A,10/4/17,1,D
JA1,10/4/17,1,D
N16,10/4/17,1,D
N9,10/4/17,1,D
N9A,10/4/17,1,D
PB2,10/4/17,2,D
PB3,10/4/17,1,D
SP2,10/4/17,1,D
TB1,10/4/17,12,D
TB2,10/4/17,3,D
CIC3,10/3/17,8,D
E12,10/3/17,4,D
E13,10/3/17,1,D
G2,10/3/17,12,D
GB1,10/3/17,1,D
HR03,10/3/17,24,D
HR1,10/3/17,4,D
HR2,10/3/17,24,D
K1,10/3/17,1,D
K2,10/3/17,2,D
K3,10/3/17,6,D
K4,10/3/17,8,D
K5,10/3/17,1,D
K5A,10/3/17,1,D
K6,10/3/17,1,D
N6,10/3/17,10,D
N7,10/3/17,1,D
N8,10/3/17,1,D
NC0,10/3/17,20,D
NC1,10/3/17,16,D
NC2,10/3/17,4,D
NC3,10/3/17,10,D
WC1,10/3/17,6,D
WC2,10/3/17,8,D
WC3,10/3/17,1,D
BR5,10/2/17,3,D
CIC2,10/2/17,4000,D
E10,10/2/17,1,D
E11,10/2/17,1,D
E14,10/2/17,1,D
E15,10/2/17,1,D
E2,10/2/17,4,D
E4,10/2/17,1,D
E6,10/2/17,3,D
E7,10/2/17,1,D
E8,10/2/17,1,D
FB1,10/2/17,2,D
FLC1,10/2/17,20,D
FLC2,10/2/17,11,D
GC3,10/2/17,4,D
GC4,10/2/17,12,D
GC5,10/2/17,12,D
GC6,10/2/17,8,D
H3,10/2/17,3,D
LN1,10/2/17,10,D
N1,10/2/17,1,D
N3B,10/2/17,1,D
N4,10/2/17,12,D
N5,10/2/17,1,D
NR1,10/2/17,1,D
SP1,10/2/17,48,D
BR5,9/28/17,7,D
E10,9/28/17,1,D
E11,9/28/17,1,D
E12,9/28/17,4,D
E13,9/28/17,17,D
E14,9/28/17,1,D
E15,9/28/17,6,D
E2,9/28/17,9,D
E4,9/28/17,9,D
E6,9/28/17,1,D
E7,9/28/17,1,D
E8,9/28/17,1,D
FB1,9/28/17,4,D
FLC1,9/28/17,22,D
FLC2,9/28/17,10,D
H3,9/28/17,2,D
HR03,9/28/17,4,D
HR1,9/28/17,28,D
HR2,9/28/17,48,D
LN1,9/28/17,1,D
N1,9/28/17,1,D
N3B,9/28/17,1,D
N4,9/28/17,4,D
N5,9/28/17,1,D
NR1,9/28/17,2,D
WC1,9/28/17,9,D
WC2,9/28/17,22,D
WC3,9/28/17,3,D
CIC2,9/27/17,30,D
CIC3,9/27/17,4,D
G2,9/27/17,1,D
GB1,9/27/17,2,D
GC3,9/27/17,4,D
GC4,9/27/17,4,D
GC5,9/27/17,4,D
GC6,9/27/17,4,D
K1,9/27/17,4,D
K2,9/27/17,1,D
K3,9/27/17,2,D
K4,9/27/17,3,D
K5,9/27/17,1,D
K5A,9/27/17,1,D
K6,9/27/17,1,D
N6,9/27/17,1,D
N7,9/27/17,3,D
N8,9/27/17,1,D
NC0,9/27/17,48,D
NC1,9/27/17,48,D
NC2,9/27/17,20,D
NC3,9/27/17,8,D
SP1,9/27/17,112,D
BB2,9/26/17,1,D
BB4,9/26/17,2,D
GHC,9/26/17,2,D
HOB,9/26/17,NS,NS
J1,9/26/17,1,D
J10,9/26/17,1,D
J11,9/26/17,2,D
J12,9/26/17,1,D
J2,9/26/17,1,D
J3,9/26/17,1,D
J5,9/26/17,1,D
J7,9/26/17,1,D
J8,9/26/17,1,D
J9A,9/26/17,2,D
JA1,9/26/17,1,D
N16,9/26/17,NS,NS
N9,9/26/17,1,D
N9A,9/26/17,1,D
PB2,9/26/17,1,D
PB3,9/26/17,1,D
SP2,9/26/17,1,D
TB1,9/26/17,NS,NS
TB2,9/26/17,NS,NS
AC1,9/25/17,1200,D
AC2,9/25/17,1800,D
BR1,9/25/17,188,D
BR3,9/25/17,28,D
F1,9/25/17,2,D
F5,9/25/17,2,D
HC1,9/25/17,6,D
HC2,9/25/17,8,D
HC3,9/25/17,4,D
J14,9/25/17,2,D
J16,9/25/17,2,D
J18,9/25/17,2,D
BB2,9/21/17,10,D
BB4,9/21/17,5,D
GHC,9/21/17,2,D
HOB,9/21/17,7,D
J1,9/21/17,1,D
J10,9/21/17,2,D
J11,9/21/17,5,D
J12,9/21/17,1,D
J2,9/21/17,1,D
J3,9/21/17,2,D
J5,9/21/17,2,D
J7,9/21/17,1,D
J8,9/21/17,2,D
J9A,9/21/17,1,D
JA1,9/21/17,1,D
N16,9/21/17,3,D
N9,9/21/17,1,D
N9A,9/21/17,1,D
PB2,9/21/17,2,D
PB3,9/21/17,2,D
SP2,9/21/17,1,D
TB1,9/21/17,29,D
TB2,9/21/17,4,D
CIC3,9/19/17,35,D
E12,9/19/17,4,D
E13,9/19/17,3,D
G2,9/19/17,2,D
GB1,9/19/17,1,D
HR03,9/19/17,4,D
HR1,9/19/17,4,D
HR2,9/19/17,20,D
K1,9/19/17,3,D
K2,9/19/17,1,D
K3,9/19/17,16,D
K4,9/19/17,36,D
K5,9/19/17,5,D
K5A,9/19/17,2,D
K6,9/19/17,NS,NS
N6,9/19/17,1,D
N7,9/19/17,1,D
N8,9/19/17,1,D
NC0,9/19/17,460,D
NC1,9/19/17,1060,D
NC2,9/19/17,112,D
NC3,9/19/17,32,D
WC1,9/19/17,24,D
WC2,9/19/17,49,D
WC3,9/19/17,1,D
BR5,9/18/17,6,D
CIC2,9/18/17,3100,D
E10,9/18/17,1,D
E11,9/18/17,4,D
E14,9/18/17,1,D
E15,9/18/17,4,D
E2,9/18/17,2,D
E4,9/18/17,1,D
E6,9/18/17,3,D
E7,9/18/17,1,D
E8,9/18/17,1,D
FB1,9/18/17,2,D
FLC1,9/18/17,12,D
FLC2,9/18/17,15,D
GC3,9/18/17,20,D
GC4,9/18/17,32,D
GC5,9/18/17,8,D
GC6,9/18/17,8,D
H3,9/18/17,6,D
LN1,9/18/17,7,D
N1,9/18/17,4,D
N3B,9/18/17,4,D
N4,9/18/17,15,D
N5,9/18/17,12,D
NR1,9/18/17,9,D
SP1,9/18/17,14,D
AC1,9/14/17,3100,D
AC2,9/14/17,1300,D
BR1,9/14/17,300,D
BR3,9/14/17,52,D
E12,9/14/17,4,D
E13,9/14/17,5,D
HR03,9/14/17,40,D
HR1,9/14/17,4,D
HR2,9/14/17,88,D
WC1,9/14/17,25,D
WC2,9/14/17,150,D
WC3,9/14/17,8,D
BB2,9/13/17,1,D
BB4,9/13/17,1,D
GHC,9/13/17,2,D
HOB,9/13/17,1,D
J1,9/13/17,1,D
J10,9/13/17,2,D
J11,9/13/17,1,D
J12,9/13/17,1,D
J2,9/13/17,1,D
J3,9/13/17,2,D
J5,9/13/17,1,D
J7,9/13/17,1,D
J8,9/13/17,1,D
J9A,9/13/17,1,D
JA1,9/13/17,1,D
N16,9/13/17,1,D
N9,9/13/17,80,D
N9A,9/13/17,1,D
PB2,9/13/17,2,D
PB3,9/13/17,1,D
SP2,9/13/17,1,D
TB1,9/13/17,1,D
TB2,9/13/17,1,D
CIC3,9/12/17,2,D
F1,9/12/17,2,D
F5,9/12/17,2,D
G2,9/12/17,2,D
GB1,9/12/17,1,D
HC1,9/12/17,4,D
HC2,9/12/17,2,D
HC3,9/12/17,2,D
J14,9/12/17,2,D
J16,9/12/17,2,D
J18,9/12/17,2,D
K1,9/12/17,1,D
K2,9/12/17,1,D
K3,9/12/17,2,D
K4,9/12/17,1,D
K5,9/12/17,1,D
K5A,9/12/17,1,D
K6,9/12/17,1,D
N6,9/12/17,3,D
N7,9/12/17,2,D
N8,9/12/17,1,D
NC0,9/12/17,52,D
NC1,9/12/17,16,D
NC2,9/12/17,4,D
NC3,9/12/17,16,D
BR5,9/11/17,4,D
CIC2,9/11/17,4,D
E10,9/11/17,1,D
E11,9/11/17,10,D
E14,9/11/17,1,D
E15,9/11/17,3,D
E2,9/11/17,4,D
E4,9/11/17,5,D
E6,9/11/17,3,D
E7,9/11/17,2,D
E8,9/11/17,1,D
FB1,9/11/17,8,D
FLC1,9/11/17,110,D
FLC2,9/11/17,11,D
GC3,9/11/17,28,D
GC4,9/11/17,16,D
GC5,9/11/17,8,D
GC6,9/11/17,12,D
H3,9/11/17,7,D
LN1,9/11/17,1,D
N1,9/11/17,3,D
N3B,9/11/17,2,D
N4,9/11/17,9,D
N5,9/11/17,10,D
NR1,9/11/17,5,D
SP1,9/11/17,6,D
AC1,9/7/17,80,W
AC2,9/7/17,1400,W
BR1,9/7/17,2600,W
BR3,9/7/17,390,W
F1,9/7/17,350,W
F5,9/7/17,410,W
HC1,9/7/17,30,W
HC2,9/7/17,10,W
HC3,9/7/17,10,W
J14,9/7/17,4,W
J16,9/7/17,4,W
J18,9/7/17,4,W
BB2,9/6/17,NS,W
BB4,9/6/17,NS,W
CIC2,9/6/17,320,W
GC3,9/6/17,50,W
GC4,9/6/17,50,W
GC5,9/6/17,40,W
GC6,9/6/17,20,W
GHC,9/6/17,NS,W
HOB,9/6/17,NS,W
J1,9/6/17,NS,W
J10,9/6/17,NS,W
J11,9/6/17,NS,W
J12,9/6/17,NS,W
J2,9/6/17,NS,W
J3,9/6/17,NS,W
J5,9/6/17,NS,W
J7,9/6/17,NS,W
J8,9/6/17,NS,W
J9A,9/6/17,NS,W
JA1,9/6/17,NS,W
N16,9/6/17,NS,NS
N9,9/6/17,NS,W
N9A,9/6/17,NS,W
PB2,9/6/17,NS,W
PB3,9/6/17,NS,W
SP1,9/6/17,10,W
SP2,9/6/17,NS,W
TB1,9/6/17,NS,W
TB2,9/6/17,NS,W
BR5,9/5/17,10,W
E10,9/5/17,2,W
E11,9/5/17,2,W
E12,9/5/17,10,W
E13,9/5/17,2,W
E14,9/5/17,2,W
E15,9/5/17,10,W
E2,9/5/17,10,W
E4,9/5/17,2,W
E6,9/5/17,2,W
E7,9/5/17,2,W
E8,9/5/17,26,W
FB1,9/5/17,16,W
FLC1,9/5/17,30,W
FLC2,9/5/17,20,W
H3,9/5/17,4,W
HR03,9/5/17,30,W
HR1,9/5/17,10,W
HR2,9/5/17,30,W
LN1,9/5/17,2,W
N1,9/5/17,NS,NS
N3B,9/5/17,NS,NS
N4,9/5/17,NS,NS
N5,9/5/17,NS,NS
NR1,9/5/17,NS,NS
WC1,9/5/17,8,W
WC2,9/5/17,20,W
WC3,9/5/17,4,W
AC1,8/31/17,3400,D
AC2,8/31/17,1000,D
BR1,8/31/17,212,D
BR3,8/31/17,36,D
E12,8/31/17,4,D
E13,8/31/17,1,D
HR03,8/31/17,16,D
HR1,8/31/17,52,D
HR2,8/31/17,40,D
WC1,8/31/17,18,D
WC2,8/31/17,15,D
WC3,8/31/17,23,D
CIC3,8/29/17,23,D
F1,8/29/17,10,D
F5,8/29/17,2,D
G2,8/29/17,11,D
GB1,8/29/17,1,D
HC1,8/29/17,4,D
HC2,8/29/17,4,D
HC3,8/29/17,2,D
J14,8/29/17,2,D
J16,8/29/17,NS,NS
J18,8/29/17,2,D
K1,8/29/17,1,D
K2,8/29/17,2,D
K3,8/29/17,3,D
K4,8/29/17,25,D
K5,8/29/17,7,D
K5A,8/29/17,1,D
K6,8/29/17,NS,NS
N6,8/29/17,1,D
N7,8/29/17,4,D
N8,8/29/17,2,D
NC0,8/29/17,4,D
NC1,8/29/17,260,D
NC2,8/29/17,24,D
NC3,8/29/17,80,D
BR5,8/28/17,1,D
CIC2,8/28/17,28,D
E10,8/28/17,12,D
E11,8/28/17,1,D
E14,8/28/17,1,D
E15,8/28/17,2,D
E2,8/28/17,5,D
E4,8/28/17,2,D
E6,8/28/17,3,D
E7,8/28/17,4,D
E8,8/28/17,1,D
FB1,8/28/17,22,D
FLC1,8/28/17,15,D
FLC2,8/28/17,2,D
GC3,8/28/17,36,D
GC4,8/28/17,24,D
GC5,8/28/17,20,D
GC6,8/28/17,32,D
H3,8/28/17,7,D
LN1,8/28/17,1,D
N1,8/28/17,4,D
N3B,8/28/17,4,D
N4,8/28/17,3,D
N5,8/28/17,7,D
NR1,8/28/17,2,D
SP1,8/28/17,4,D
AC1,8/24/17,300,D
AC2,8/24/17,3800,D
BR1,8/24/17,700,D
BR3,8/24/17,120,D
F1,8/24/17,2,D
F5,8/24/17,4,D
HC1,8/24/17,24,D
HC2,8/24/17,28,D
HC3,8/24/17,2,D
J14,8/24/17,2,D
J16,8/24/17,NS,NS
J18,8/24/17,2,D
BB2,8/23/17,19000,W
BB4,8/23/17,116,W
GHC,8/23/17,2,W
HOB,8/23/17,4,W
J1,8/23/17,4,W
J10,8/23/17,4,W
J11,8/23/17,101,W
J12,8/23/17,26,W
J2,8/23/17,2,W
J3,8/23/17,2,W
J5,8/23/17,2,W
J7,8/23/17,2,W
J8,8/23/17,2,W
J9A,8/23/17,2,W
JA1,8/23/17,2,W
N16,8/23/17,2,W
N9,8/23/17,2,W
N9A,8/23/17,2,W
PB2,8/23/17,18,W
PB3,8/23/17,20,W
SP2,8/23/17,2,W
TB1,8/23/17,180,W
TB2,8/23/17,76,W
CIC3,8/22/17,18,D
E12,8/22/17,4,D
E13,8/22/17,5,D
G2,8/22/17,27,D
GB1,8/22/17,2,D
HR03,8/22/17,28,D
HR1,8/22/17,8,D
HR2,8/22/17,160,D
K1,8/22/17,1,D
K2,8/22/17,2,D
K3,8/22/17,13,D
K4,8/22/17,1,D
K5,8/22/17,1,D
K5A,8/22/17,2,D
K6,8/22/17,1,D
N6,8/22/17,3,D
N7,8/22/17,1,D
N8,8/22/17,1,D
NC0,8/22/17,32,D
NC1,8/22/17,120,D
NC2,8/22/17,8,D
NC3,8/22/17,10,D
WC1,8/22/17,25,D
WC2,8/22/17,420,D
WC3,8/22/17,2,D
BR5,8/21/17,20,D
CIC2,8/21/17,168,D
E10,8/21/17,1,D
E11,8/21/17,8,D
E14,8/21/17,4,D
E15,8/21/17,8,D
E2,8/21/17,11,D
E4,8/21/17,4,D
E6,8/21/17,6,D
E7,8/21/17,2,D
E8,8/21/17,6,D
FB1,8/21/17,2,D
FLC1,8/21/17,140,D
FLC2,8/21/17,26,D
GC3,8/21/17,230,D
GC4,8/21/17,234,D
GC5,8/21/17,197,D
GC6,8/21/17,450,D
H3,8/21/17,14,D
LN1,8/21/17,13,D
N1,8/21/17,9,D
N3B,8/21/17,10,D
N4,8/21/17,6,D
N5,8/21/17,8,D
NR1,8/21/17,5,D
SP1,8/21/17,52,D
AC1,8/17/17,3200,D
AC2,8/17/17,900,D
BR1,8/17/17,500,D
BR3,8/17/17,24,D
E12,8/17/17,NS,D
E13,8/17/17,1,D
HR03,8/17/17,8,D
